id,lyric,line
10,Was I out of line?,20
10,"Did I say something way too honest, made you run and hide",21
10,Like a scared little boy?,22
10,I looked into your eyes,23
10,"Thought I knew you for a minute, now I'm not so sure",24
10,So here's to everything coming down to nothing,25
10,Here's to silence that cuts me to the core,26
10,Where is this going?,27
10,"Thought I knew for a minute, but I don't anymore",28
10,"And I stare at the phone, he still hasn't called",29
10,And then you feel so low you can't feel nothing at all,30
10,"And you flashback to when he said, ""forever and always""",31
10,"Oh, and it rains in your bedroom",32
10,Everything is wrong,33
10,It rains when you're here and it rains when you're gone,34
10,"'Cause I was there when you said, ""forever and always""",35
10,"You didn't mean it baby, I don't think so",36
10,"Oh, back up, baby, back up",37
10,Did you forget everything?,38
10,"Back up, baby, back up",39
10,Did you forget everything?,40
10,'Cause it rains in your bedroom,41
10,Everything is wrong,42
10,It rains when you're here and it rains when you're gone,43
10,"'Cause I was there when you said, ""forever and always""",44
10,"Oh, I stare at the phone, he still hasn't called",45
10,And then you feel so low you can't feel nothing at all,46
10,"And you flashback to when we said, ""forever and always""",47
10,And it rains in your bedroom,48
10,Everything is wrong,49
10,It rains when you're here and it rains when you're gone,50
10,"'Cause I was there when you said, ""forever and always""",51
10,You didn't mean it baby,52
10,"You said, ""forever and always,"" yeah",53
11,"I'm five years old, it's getting cold, I've got my big coat on",1
11,"I hear your laugh and look up smiling at you, I run and run",2
11,Past the pumpkin patch and the tractor rides,3
11,"Look now, the sky is gold",4
11,I hug your legs and fall asleep on the way home,5
11,I don't know why all the trees change in the fall,6
11,But I know you're not scared of anything at all,7
11,Don't know if Snow White's house is near or far away,8
11,But I know I had the best day with you today,9
11,I'm thirteen now,10
11,And don't know how my friends could be so mean,11
11,I come home crying and you hold me tight and grab the keys,12
11,And we drive and drive until we found a town far enough away,13
11,And we talk and window shop 'til I've forgotten all their names,14
11,I don't know who I'm going to talk to now at school,15
11,But I know I'm laughing on the car ride home with you,16
11,Don't know how long it's going to take to feel okay,17
11,But I know I had the best day with you today,18
11,"I have an excellent father, his strength is making me stronger",19
11,"God smiles on my little brother, inside and out",20
11,He's better than I am,21
11,I grew up in a pretty house and I had space to run,22
11,And I had the best days with you,23
11,There is a video I found from back when I was three,24
11,You set up a paint set in the kitchen and you're talking to me,25
11,It's the age of princesses and pirate ships and the seven dwarves,26
11,Daddy's smart,27
11,And you're the prettiest lady in the whole wide world,28
11,Now I know why all the trees change in the fall,29
11,I know you were on my side even when I was wrong,30
11,And I love you for giving me your eyes,31
11,For staying back and watching me shine,32
